"ENTITY_CD","ENTITY_NAME","YEAR","NUM_ELL","PER_ELL","NUM_AM_IND","PER_AM_IND","NUM_BLACK","PER_BLACK","NUM_HISP","PER_HISP","NUM_ASIAN","PER_ASIAN","NUM_WHITE","PER_WHITE","NUM_Multi","PER_Multi","NUM_SWD","PER_SWD","NUM_FEMALE","PER_FEMALE","NUM_MALE","PER_MALE","NUM_ECDIS","PER_ECDIS","NUM_MIGRANT","PER_MIGRANT","NUM_HOMELESS","PER_HOMELESS","NUM_FOSTER","PER_FOSTER","NUM_ARMED","PER_ARMED"
"000003000000","BROOME County","2017","487","2","74","0","2370","9","1693","7","828","3","19383","75","1492","6",3655,14,12604,49,13236,51,14110,55,,,,,,,,
"000004000000","CATTARAUGUS County","2017","23","0","776","6","241","2","330","3","123","1","10708","85","470","4",1991,16,6201,49,6447,51,7053,56,,,,,,,,
"000005000000","CAYUGA County","2017","50","1","18","0","308","3","335","4","68","1","7880","87","491","5",1191,13,4450,49,4650,51,4609,51,,,,,,,,
"000006000000","CHAUTAUQUA County","2017","636","3","189","1","396","2","2567","14","122","1","14168","78","812","4",2362,13,8976,49,9278,51,10442,57,,,,,,,,
"000007000000","CHEMUNG County","2017","46","0","23","0","925","8","286","3","189","2","8769","80","807","7",1450,13,5358,49,5641,51,5967,54,,,,,,,,
"000008000000","CHENANGO County","2017","14","0","33","0","103","1","192","3","56","1","6483","93","94","1",1235,18,3416,49,3545,51,3689,53,,,,,,,,
"000009000000","CLINTON County","2017","29","0","29","0","223","2","118","1","91","1","10054","95","84","1",1882,18,5168,49,5431,51,5440,51,,,,,,,,
"000010000000","COLUMBIA County","2017","293","4","5","0","505","7","608","9","252","4","5224","76","312","5",1152,17,3324,48,3582,52,3514,51,,,,,,,,
"000011000000","CORTLAND County","2017","23","0","3","0","106","2","163","3","32","1","5565","92","168","3",849,14,2952,49,3085,51,3312,55,,,,,,,,
"000012000000","DELAWARE County","2017","47","1","14","0","72","1","262","5","48","1","4835","91","89","2",804,15,2646,50,2674,50,2968,56,,,,,,,,
"000013000000","DUTCHESS County","2017","1165","3","32","0","4681","12","6814","17","1350","3","25012","64","1244","3",5909,15,19231,49,19902,51,15025,38,,,,,,,,
"000014000000","ERIE County","2017","7200","6","1050","1","24046","20","10914","9","5958","5","75926","62","3983","3",19786,16,60071,49,61806,51,59914,49,,,,,,,,
"000015000000","ESSEX County","2017","6","0","9","0","23","1","29","1","34","1","3472","96","51","1",646,18,1799,50,1819,50,1881,52,,,,,,,,
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2017","0","0","2","0","2","0","9","1","1","0","710","97","11","1",112,15,356,48,379,52,469,64,,,,,,,,
