"ENTITY_CD","ENTITY_NAME","YEAR","NUM_FREE_LUNCH","PER_FREE_LUNCH","NUM_REDUCED_LUNCH","PER_REDUCED_LUNCH"
"000000000001","NYC Public Schools","2018","670164","72","37424","4"
"000000000002","Large Cities","2018","81038","79","1004","1"
"000000000003","High Need/Resource Urban-Suburban Districts","2018","141728","69","8723","4"
"000000000004","High Need/Resource Rural Districts","2018","72007","51","9301","7"
"000000000005","Average Need Districts","2018","241901","33","35802","5"
"000000000006","Low Need Districts","2018","44433","12","7061","2"
"000000000007","Charter Schools","2018","102251","73","9352","7"
"000001000000","ALBANY County","2018","15258","39","1014","3"
"000002000000","ALLEGANY County","2018","2840","47","408","7"
"000003000000","BROOME County","2018","12602","49","1108","4"
"000004000000","CATTARAUGUS County","2018","5860","47","815","7"
"000005000000","CAYUGA County","2018","3856","43","312","3"
"000006000000","CHAUTAUQUA County","2018","9086","50","633","4"
"000007000000","CHEMUNG County","2018","5289","48","325","3"
"000008000000","CHENANGO County","2018","3544","51","513","7"
"000009000000","CLINTON County","2018","4350","41","426","4"
"000010000000","COLUMBIA County","2018","3088","45","300","4"
"000011000000","CORTLAND County","2018","2699","46","331","6"
"000012000000","DELAWARE County","2018","2385","46","293","6"
"000013000000","DUTCHESS County","2018","11481","30","1701","4"
"000014000000","ERIE County","2018","55159","45","4460","4"
"000015000000","ESSEX County","2018","1463","40","216","6"
"000016000000","FRANKLIN County","2018","3584","51","456","6"
"000017000000","FULTON County","2018","3386","46","346","5"
"000000000001","NYC Public Schools","2016","623081","65","53626","6"
"000000000002","Large Cities","2016","78596","75","1773","2"
"000000000003","High Need/Resource Urban-Suburban Districts","2016","134455","65","11674","6"
"000000000004","High Need/Resource Rural Districts","2016","69465","48","11375","8"
"000000000005","Average Need Districts","2016","225718","30","41226","6"
"000000000006","Low Need Districts","2016","38965","11","7561","2"
"000000000007","Charter Schools","2016","80627","69","10563","9"
"000001000000","ALBANY County","2016","13342","34","1220","3"
"000002000000","ALLEGANY County","2016","2913","46","537","8"
"000003000000","BROOME County","2016","11887","45","1317","5"
"000004000000","CATTARAUGUS County","2016","5579","44","946","7"
"000005000000","CAYUGA County","2016","3735","41","446","5"
"000006000000","CHAUTAUQUA County","2016","9171","49","846","5"
"000007000000","CHEMUNG County","2016","5108","46","402","4"
"000018000000","GENESEE County","2018","3064","39","474","6"
"000019000000","GREENE County","2018","2319","41","236","4"
"000020000000","HAMILTON County","2018","152","37","30","7"
"000021000000","HERKIMER County","2018","4168","47","628","7"
"000022000000","JEFFERSON County","2018","7401","43","1650","10"
"000023000000","LEWIS County","2018","1677","42","389","10"
"000024000000","LIVINGSTON County","2018","2794","38","333","4"
"000025000000","MADISON County","2018","3517","38","531","6"
"000026000000","MONROE County","2018","48849","47","3637","3"
"000027000000","MONTGOMERY County","2018","3990","56","246","3"
"000008000000","CHENANGO County","2016","3268","46","570","8"
"000009000000","CLINTON County","2016","4476","42","603","6"
"000010000000","COLUMBIA County","2016","3003","43","391","6"
"000011000000","CORTLAND County","2016","2562","41","498","8"
"000012000000","DELAWARE County","2016","2478","46","452","8"
"000013000000","DUTCHESS County","2016","10370","26","1793","5"
"000014000000","ERIE County","2016","48401","40","4921","4"
"000015000000","ESSEX County","2016","1494","41","327","9"
"000016000000","FRANKLIN County","2016","3454","48","557","8"
"000017000000","FULTON County","2016","3488","47","456","6"
"000018000000","GENESEE County","2016","2882","36","561","7"
"000019000000","GREENE County","2016","2455","42","323","5"
"000020000000","HAMILTON County","2016","145","35","37","9"
"000021000000","HERKIMER County","2016","4067","45","672","7"
"000022000000","JEFFERSON County","2016","6735","38","1869","11"
"000023000000","LEWIS County","2016","1619","40","414","10"
"000024000000","LIVINGSTON County","2016","2709","36","400","5"
"000025000000","MADISON County","2016","3508","37","628","7"
"000026000000","MONROE County","2016","43271","41","4288","4"
"000027000000","MONTGOMERY County","2016","3845","52","288","4"
"000028000000","NASSAU County","2016","49112","25","7157","4"
"000030000000","NYC Public Schools","2016","14608","62","244","1"
"000031000000","NEW YORK County","2016","98550","60","8292","5"
"000032000000","BRONX County","2016","170663","78","9195","4"
"000033000000","KINGS County","2016","205265","66","17770","6"
"000034000000","QUEENS County","2016","168990","61","22155","8"
"000035000000","RICHMOND County","2016","28798","48","4396","7"
"000040000000","NIAGARA County","2016","11865","42","1760","6"
"000041000000","ONEIDA County","2016","16141","49","1855","6"
"000042000000","ONONDAGA County","2016","28075","41","2745","4"
"000043000000","ONTARIO County","2016","4813","31","758","5"
"000044000000","ORANGE County","2016","21009","36","3523","6"
"000045000000","ORLEANS County","2016","2652","46","455","8"
"000046000000","OSWEGO County","2016","8967","47","1323","7"
"000047000000","OTSEGO County","2016","2511","37","559","8"
"000048000000","PUTNAM County","2016","2378","16","427","3"
"000049000000","RENSSELAER County","2016","7643","39","943","5"
"000050000000","ROCKLAND County","2016","12730","32","1337","3"
"000051000000","ST. LAWRENCE County","2016","6643","46","1032","7"
"000052000000","SARATOGA County","2016","6650","20","1053","3"
"000053000000","SCHENECTADY County","2016","9233","43","792","4"
"000054000000","SCHOHARIE County","2016","1713","41","371","9"
"000055000000","SCHUYLER County","2016","747","41","120","7"
"000056000000","SENECA County","2016","955","25","208","5"
"000057000000","STEUBEN County","2016","6153","42","1315","9"
"000058000000","SUFFOLK County","2016","75354","32","10833","5"
"000059000000","SULLIVAN County","2016","4012","44","466","5"
"000060000000","TIOGA County","2016","3228","44","505","7"
"000061000000","TOMPKINS County","2016","3622","34","656","6"
"000062000000","ULSTER County","2016","8781","39","1337","6"
"000063000000","WARREN County","2016","3030","35","373","4"
"000064000000","WASHINGTON County","2016","3454","41","538","6"
"000065000000","WAYNE County","2016","5392","39","1114","8"
"000066000000","WESTCHESTER County","2016","48802","33","6059","4"
"000067000000","WYOMING County","2016","1392","35","244","6"
"000068000000","YATES County","2016","1011","47","126","6"
"000099000000","NYC Public Schools County","2016","686874","65","62052","6"
"010100010000","ALBANY CITY SCHOOL DISTRICT","2016","5264","59","102","1"
"010100010014","MONTESSORI MAGNET SCHOOL","2016","84","29","6","2"
"010100010016","PINE HILLS ELEMENTARY SCHOOL","2016","287","66","3","1"
"010100010018","DELAWARE COMMUNITY SCHOOL","2016","303","68","6","1"
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL","2016","149","29","3","1"
"010100010020","NORTH ALBANY ACADEMY","2016","294","78","1","0"
"010100010023","ALBANY SCHOOL OF HUMANITIES","2016","267","52","3","1"
"010100010027","EAGLE POINT ELEMENTARY SCHOOL","2016","143","46","15","5"
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY","2016","341","71","5","1"
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL","2016","428","86","3","1"
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL","2016","317","54","8","1"
"010100010034","ALBANY HIGH SCHOOL","2016","1279","51","29","1"
"010100010039","ARBOR HILL ELEMENTARY SCHOOL","2016","310","86","3","1"
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY","2016","164","73","0","0"
"010100010044","SHERIDAN PREPARATORY ACADEMY","2016","331","80","4","1"
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL","2016","423","64","10","2"
"010100010046","WEST HILL MIDDLE SCHOOL","2016","144","50","3","1"
"010100860829","BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS","2016","257","89","21","7"
"010100860830","BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS","2016","258","91","10","4"
"010100860867","KIPP TECH VALLEY CHARTER SCHOOL","2016","198","65","29","10"
"010100860892","HENRY JOHNSON CHARTER SCHOOL","2016","345","87","24","6"
"010100860899","ALBANY COMMUNITY CHARTER SCHOOL","2016","584","88","44","7"
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2016","253","72","31","9"
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2016","294","81","41","11"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2016","274","35","37","5"
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2016","119","31","22","6"
"010201040002","BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL","2016","155","39","15","4"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2016","416","9","51","1"
"010306060003","ELSMERE ELEMENTARY SCHOOL","2016","31","11","1","0"
"010306060004","GLENMONT ELEMENTARY SCHOOL","2016","31","9","5","1"
"010306060005","HAMAGRAEL ELEMENTARY SCHOOL","2016","30","9","2","1"
"010306060006","SLINGERLANDS ELEMENTARY SCHOOL","2016","49","10","2","0"
"010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL","2016","99","9","11","1"
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2016","143","9","25","2"
"010306060009","EAGLE ELEMENTARY SCHOOL","2016","33","8","5","1"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2016","650","36","74","4"
"010402060001","RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","2016","194","33","33","6"
"010402060002","ALBERTUS W BECKER SCHOOL","2016","136","34","10","2"
"010402060003","PIETER B COEYMANS SCHOOL","2016","151","38","18","5"
"010402060008","RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL","2016","169","42","13","3"
"010500010000","COHOES CITY SCHOOL DISTRICT","2016","1097","59","94","5"
"010500010005","ABRAM LANSING SCHOOL","2016","232","67","10","3"
"010500010006","VAN SCHAICK ISLAND SCHOOL","2016","72","53","10","7"
"010500010007","COHOES HIGH SCHOOL","2016","295","55","32","6"
"010500010008","COHOES MIDDLE SCHOOL","2016","263","61","24","6"
"010500010009","HARMONY HILL SCHOOL","2016","235","56","18","4"
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT","2016","937","20","137","3"
"010601060003","ROESSLEVILLE SCHOOL","2016","106","29","12","3"
"010601060005","SADDLEWOOD ELEMENTARY SCHOOL","2016","56","18","7","2"
"010601060006","SHAKER ROAD ELEMENTARY SCHOOL","2016","74","23","6","2"
"010601060008","COLONIE CENTRAL HIGH SCHOOL","2016","282","18","54","3"
"010601060010","FOREST PARK ELEMENTARY SCHOOL","2016","57","18","7","2"
"010601060011","VEEDER ELEMENTARY SCHOOL","2016","81","19","5","1"
"010601060012","SAND CREEK MIDDLE SCHOOL","2016","182","23","31","4"
"010601060013","LISHA KILL MIDDLE SCHOOL","2016","99","16","15","2"
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT","2016","67","26","18","7"
"010615020001","MENANDS SCHOOL","2016","67","26","18","7"
"010623060000","NORTH COLONIE CSD","2016","789","14","158","3"
"010623060002","BLUE CREEK SCHOOL","2016","103","20","14","3"
"010623060003","BOGHT HILLS SCHOOL","2016","64","12","12","2"
"010623060004","FORTS FERRY SCHOOL","2016","90","20","15","3"
"010623060006","LATHAM RIDGE SCHOOL","2016","87","19","23","5"
"010623060007","LOUDONVILLE SCHOOL","2016","15","5","7","2"
"010623060008","SOUTHGATE SCHOOL","2016","53","13","9","2"
