"ENTITY_CD","ENTITY_NAME","YEAR","SUBJECT","SUBGROUP_NAME","COMPOSITE_COHORT","COMPOSITE _INDEX","COMPOSITE _LEVEL","OVERRIDE"
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","All Students","2152","146.5","1",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Students with Disabilities","284","79.1","1",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","American Indian or Alaska Native","12","s","s",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Asian or Native Hawaiian/Other Pacific Islander","200","165.6","2",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Black or African American","1052","132.9","1",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Hispanic or Latino","380","138","1",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","White","468","173.9","2",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Multiracial","104","161.3","2",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","Economically Disadvantaged","212","151.7","2",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","All Students","232","158.4","2",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","Students with Disabilities","24","s","s",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","American Indian or Alaska Native","4","s","s",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","Asian or Native Hawaiian/Other Pacific Islander","32","143.1","2",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","Black or African American","196","159","2",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","Hispanic or Latino","44","162.1","2",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","White","28","s","s",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","English Language Learners","20","s","s",
"010100860960","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","2018","Combined","Economically Disadvantaged","196","154.9","2",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","All Students","300","185.5","3",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","Students with Disabilities","68","78.4","1",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","Black or African American","4","s","s",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","Hispanic or Latino","4","s","s",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","White","300","185.5","3",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","English Language Learners","160","80.7","2",
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018","Combined","Economically Disadvantaged","1164","130.7","1",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","All Students","2112","147.9","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Students with Disabilities","244","80.5","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","American Indian or Alaska Native","12","s","s",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Asian or Native Hawaiian/Other Pacific Islander","200","165.6","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Black or African American","1036","133.9","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Hispanic or Latino","376","138.2","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","White","448","178.9","3",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Multiracial","104","161.3","2",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","English Language Learners","160","80.7","3",
"010100010034","ALBANY HIGH SCHOOL","2018","Combined","Economically Disadvantaged","1160","131","2",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","All Students","188","161.1","2",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","Students with Disabilities","12","s","s",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","Black or African American","160","160.6","2",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","Hispanic or Latino","48","163.4","2",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","White","12","s","s",
"010100860907","GREEN TECH HIGH CHARTER SCHOOL","2018","Combined","Multiracial","4","s","s",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","Black or African American","76","197.9","4",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","Hispanic or Latino","116","209.6","4",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","White","1428","217.5","4",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","Multiracial","16","s","s",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","English Language Learners","4","s","s",
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL","2018","Combined","Economically Disadvantaged","196","193.7","4",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","All Students","536","170.9","2",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Students with Disabilities","168","87.4","2",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Asian or Native Hawaiian/Other Pacific Islander","24","s","s",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Black or African American","36","153.7","2",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Hispanic or Latino","68","150.6","2",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","White","432","174.8","2",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Multiracial","24","s","s",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","English Language Learners","8","s","s",
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","2018","Combined","Economically Disadvantaged","228","159","2",
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018","Combined","Economically Disadvantaged","188","154.1","2",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","All Students","292","187.1","3",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","Students with Disabilities","52","92.3","2",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","Black or African American","4","s","s",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","Hispanic or Latino","4","s","s",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","White","292","187.1","3",
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL","2018","Combined","Economically Disadvantaged","172","165.4","3",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","All Students","1668","214.4","4",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","Students with Disabilities","240","136.3","4",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","Asian or Native Hawaiian/Other Pacific Islander","124","219.2","4",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","Black or African American","84","186.2","3",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","Hispanic or Latino","116","209.6","4",
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","2018","Combined","White","1448","215.7","4",
